tweet,polarity
b'RT @PMOIndia: PM @narendramodi landed in Delhi this morning. EAM @SushmaSwaraj welcomed him at the airport. \n\nPM returned after historic bi\xe2\x80\xa6',Positive
b'RT @PMOIndia: PM @narendramodi landed in Delhi this morning. EAM @SushmaSwaraj welcomed him at the airport. \n\nPM returned after historic bi\xe2\x80\xa6',Positive
b'RT @SharmaKhemchand: #Modi ji led @BJP4India is confident 2 get support of more then 314 MPs.\n\n\xe0\xa4\x9c\xe0\xa4\xa8\xe0\xa4\xa4\xe0\xa4\xbe @narendramodi \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9b\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x8f\xe0\xa4\xb5\xe0\xa4\x82 \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xaa\xe2\x80\xa6',Negative
b'RT @ganeshmahnar: @narendramodi led @BJP4India is going to improve its performance in 2019: @AmitShah\nhttps://t.co/T2gKIsaqy8',Positive
b'RT @PMOIndia: PM @narendramodi will visit an exhibition on Flagship Missions of Urban Development. He would also interact with beneficiarie\xe2\x80\xa6',Positive
b'@rathodniraj0111 @nsitharaman @PMOIndia @narendramodi @Dev_Fadnavis Niraj Rathod confirming that NSEL in collusion\xe2\x80\xa6 https://t.co/88kzPsVA0M',Positive
b'RT @PMOIndia: PM @narendramodi landed in Delhi this morning. EAM @SushmaSwaraj welcomed him at the airport. \n\nPM returned after historic bi\xe2\x80\xa6',Positive
b'RT @MndrPtl: @narendramodi @rsprasad still beti bajao? What about Senior Citizens? What about women abusing law with #FakeCases r u still w\xe2\x80\xa6',Positive
"b'RT @narendramodi: Had a wonderful meeting with the President of Turkey, Mr. @RT_Erdogan. Our talks covered multiple areas of India-Turkey c\xe2\x80\xa6'",Negative
"b'RT @PMOIndia: At the programme in Lucknow the Foundation Stone for various projects under Flagship Missions, in the State of Uttar Pradesh\xe2\x80\xa6'",Positive
b'RT @Sumitchodhry: #\xe0\xa4\x9c\xe0\xa4\xbc\xe0\xa5\x81\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa5\x80_\xe0\xa4\x9c\xe0\xa5\x87\xe0\xa4\xb2\xe0\xa4\xb0_\xe0\xa4\xb6\xe0\xa4\xae\xe0\xa4\xb6\xe0\xa5\x87\xe0\xa4\xb0\xe0\xa4\xa6\xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe\n\xe0\xa4\x90\xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xad\xe0\xa5\x83\xe0\xa4\xb7\xe0\xa5\x8d\xe0\xa4\x9f  \xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x97\xe0\xa5\x8b \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\x96\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\xab \xe0\xa4\xb8\xe0\xa4\x96\xe0\xa5\x8d\xe0\xa4\xa4 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa4\x96\xe0\xa5\x8d\xe0\xa4\xa4 \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\xa8\xe0\xa5\x80 \xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\xa4\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xbf \xe0\xa4\x9c\xe0\xa4\xa8\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb8 \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x81\xe0\xa4\xa8 \xe0\xa4\x8f\xe0\xa4\xb5\xe0\xa4\x82 \xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe\xe0\xa4\xaf\xe2\x80\xa6',Positive
"b'RT @PMOIndia: At the programme in Lucknow the Foundation Stone for various projects under Flagship Missions, in the State of Uttar Pradesh\xe2\x80\xa6'",Positive
b'RT @PMOIndia: PM @narendramodi will visit an exhibition on Flagship Missions of Urban Development. He would also interact with beneficiarie\xe2\x80\xa6',Positive
b'RT @PriyankaJi_: So according to the Flying Minister @narendramodi a company incorporated before 12 days of the #RafaleDeal should be given\xe2\x80\xa6',Positive
b'RT @7attu: CPI\xe0\xa4\xa8\xe0\xa5\x87\xe0\xa4\xa4\xe0\xa4\xbe #\xe0\xa4\x86\xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\xb0_\xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\xa6\xe0\xa4\xb0_\xe0\xa4\x9c\xe0\xa4\xbc\xe0\xa5\x88\xe0\xa4\xa6\xe0\xa5\x80 \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\x8f\xe0\xa4\x95 \xe0\xa4\x9d\xe0\xa5\x82\xe0\xa4\xa0\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa5\x8c\xe0\xa4\xb2\xe0\xa4\xb5\xe0\xa5\x80 #\xe0\xa4\x8f\xe0\xa4\x9c\xe0\xa4\xbc\xe0\xa4\xbe\xe0\xa4\x9c\xe0\xa4\xbc_\xe0\xa4\x85\xe0\xa4\xb0\xe0\xa4\xb6\xe0\xa4\xa6_\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa4\xae\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xb8\xe0\xa4\xb9\xe0\xa4\xae\xe0\xa4\xa4 \xe0\xa4\x87\xe0\xa4\xb8\xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82\xe0\xa4\x95\xe0\xa4\xbf \xe0\xa4\x89\xe0\xa4\xa8\xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xa4 \xe0\xa4\xb9\xe0\xa4\x9c\xe0\xa4\xbc\xe0\xa4\xae \xe0\xa4\xa8\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x8b \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xbf \xe0\xa4\xae\xe0\xa5\x81\xe2\x80\xa6',Positive
